,lead,member,min_mse,min_mse_time
252,26,4,181108.15910042432,963707
253,26,8,159951.18304423624,900923
254,26,2,205077.235709395,953675
255,26,1,195331.52717523053,1059083
256,26,6,179677.59237523781,578363
257,26,7,189090.76510968173,603587
258,26,3,137169.79702599114,927947
259,26,10,174885.93823464654,823403
260,27,9,164183.1946614404,832595
261,27,5,188148.13369237864,831635
262,27,4,161093.68510778787,1006475
263,27,8,402059.1521785496,778403
264,27,2,328482.69641070225,979763
265,27,1,151016.81772627428,953963
266,27,6,187375.57763957136,901763
267,27,7,146115.33360673566,560531
268,27,3,135364.48095895094,839699
269,27,10,152736.77998013864,1051307
270,28,9,128522.4437331032,648179
271,28,5,222856.3687743423,647507
272,28,4,140954.2495154146,620579
273,28,8,334627.4183556289,778403
274,28,2,140566.6968764855,761099
275,28,1,98932.9534738082,717203
276,28,6,188443.13660495047,901787
277,28,7,147667.08566944406,552203
278,28,3,147396.23396460048,743675
279,28,10,201147.8576028993,1034219
280,29,9,155533.30563593106,865979
281,29,5,190393.20112591024,560003
282,29,4,149602.21555451714,1033331
283,29,8,228251.78916987666,534179
284,29,2,137906.4433796124,832235
285,29,1,181388.42718705005,901547
286,29,6,173845.69107893508,796835
287,29,7,189677.4021488573,604067
288,29,3,213896.13278865645,726731
289,29,10,156155.65155005973,779363
290,30,9,133377.64557826667,771059
291,30,5,144027.72056865747,920123
292,30,4,176579.7388629319,1032347
293,30,8,208429.02319312614,664403
294,30,2,160596.31394828425,806123
295,30,1,167426.20099714797,920171
296,30,6,175868.82313543878,638027
297,30,7,161498.7436941103,683003
298,30,3,264794.35810838593,787595
299,30,10,230238.82007616368,1050299
