,lead,member,min_mse,min_mse_time
64,7,4,201370.66457979716,753347
65,7,3,177742.45462632758,753347
66,7,2,198257.53026241728,753347
67,7,6,144643.1323847695,753347
68,7,1,178556.92509908526,753347
69,7,10,195965.3146631796,753347
70,8,5,204878.68382900985,725939
71,8,9,222002.39963613037,725939
72,8,8,190308.21943322237,796043
73,8,7,179933.60932289407,559475
74,8,4,154876.02872073866,796043
75,8,3,160798.68643960296,559475
76,8,2,190049.5538709368,725939
77,8,6,174747.81916419943,559475
78,8,1,163015.98304857526,796043
79,8,10,180038.33977761245,725939
80,9,5,184626.68231717063,559475
81,9,9,205090.96403696373,559475
82,9,8,226135.23088713147,770123
83,9,7,143193.75990117795,796043
84,9,4,174260.96257130455,796043
85,9,3,171646.62444906082,533675
86,9,2,167168.01177335062,796043
87,9,6,174269.61244024045,533675
88,9,1,216294.17617760715,700067
89,9,10,154271.9070022018,796043
90,10,5,239485.64032375597,664283
91,10,9,258330.27195792223,629243
92,10,8,193537.52969840722,813755
93,10,7,197248.13346108733,664739
94,10,4,289826.72101413785,901835
95,10,3,236727.8254924229,700067
96,10,2,196302.24227910925,796043
97,10,6,234327.19294624933,1050011
98,10,1,215377.81966346054,699443
99,10,10,236501.8906806744,533675
100,11,5,235958.93155992296,988355
101,11,9,270192.4334217859,550115
102,11,8,200091.19000215884,883715
103,11,7,187699.15643958843,787475
104,11,4,227725.4797025812,813755
105,11,3,201472.83803552698,813755
106,11,2,147529.6689954808,541763
107,11,6,228214.20384448825,787475
108,11,1,201547.5050118744,558923
109,11,10,223825.48775105955,813779
110,12,5,241315.90795127425,787307
111,12,9,178441.1014999228,795875
112,12,8,167657.11744051334,883739
113,12,7,242516.3385942005,927827
114,12,4,318333.2331897473,787475
115,12,3,177348.9508873107,594083
116,12,2,204855.8166511899,883523
117,12,6,237721.7716393849,787475
118,12,1,216491.8226193221,743411
119,12,10,201338.57378228405,883715
120,13,5,193549.1635681233,786995
121,13,9,180977.77234752997,795899
122,13,8,185506.4727361366,910619
123,13,7,208920.2172091368,787475
124,13,4,190930.62776745186,787475
125,13,3,198224.58125368957,559475
126,13,2,208438.7045288328,927851
127,13,6,168828.6361276455,795491
128,13,1,291146.30527709477,717371
129,13,10,219503.43476681178,988379
130,14,5,178936.97255236105,734363
131,14,9,230253.0422664824,874787
132,14,8,174401.64594336617,988403
133,14,7,255174.85700367924,681611
134,14,4,201690.76185255908,734339
135,14,3,238116.84160230524,787715
136,14,2,289731.1549179723,988355
137,14,6,186720.2329093812,988379
138,14,1,273139.1380454573,1006595
139,14,10,268018.90560011286,681611
140,15,5,120578.92745538944,681563
141,15,9,226082.2611856612,874739
142,15,8,228296.9516157443,831179
143,15,7,234019.07566310337,558899
144,15,4,156803.60668112134,953363
145,15,3,280380.490979456,892547
146,15,2,211616.61918318007,935867
147,15,6,160029.68422132218,1058627
148,15,1,260383.0824867854,664019
149,15,10,318015.086446207,550811
150,16,5,216329.41417544734,655979
151,16,9,238044.6172503759,988835
152,16,8,339833.26216521085,814259
153,16,7,296385.6142021704,700811
154,16,4,205181.4132344806,883763
155,16,3,254126.96592783448,1032347
156,16,2,250114.51167344188,796115
157,16,6,260863.85505149883,883979
158,16,1,365519.71667593496,927491
159,16,10,279737.4247246959,988715
160,17,5,168050.04797569153,533651
161,17,9,272554.5210128623,1006187
162,17,8,355759.60751522006,1060283
163,17,7,189434.01099553183,672851
164,17,4,255182.30736443252,1059035
165,17,3,283374.04049492086,559475
166,17,2,251074.46551635582,533483
167,17,6,323675.00053316954,1006235
168,17,1,246866.1799070893,1014731
169,17,10,235852.9900255072,988691
170,18,5,198987.1553420859,963155
171,18,9,230919.2578152046,988811
172,18,8,269984.69883548794,533843
173,18,7,333474.2467960741,533603
